,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
455,00652,富邦印度        ,"13,000","33,000","-20,000",0,0,0,0,0,0,"17,653",0,0,0,"22,023","4,370","17,653","-2,347"
456,00899,FT潔淨能源      ,0,"7,000","-7,000",0,0,0,0,0,0,"4,593",0,0,0,"130,000","125,407","4,593","-2,407"
457,020032,元大綠能N       ,0,0,0,0,0,0,0,0,0,"-3,000",0,0,0,"5,000","8,000","-3,000","-3,000"
458,9136,巨騰-DR         ,"7,000","10,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000"
459,6184,大豐電          ,0,"3,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000"
460,6224,聚鼎            ,"22,000","19,000","3,000",0,0,0,0,0,0,"-6,000",0,"6,000","-6,000",0,0,0,"-3,000"
461,8039,台虹            ,"19,000","22,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000"
462,8201,無敵            ,"6,000","9,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000"
463,8438,昶昕            ,"1,000","4,000","-3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"-3,000"
464,8467,波力-KY         ,"1,000","3,000","-2,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-3,000"
